date,IssueComment
2015-03-26,168.0
2015-03-27,345.0
2015-03-28,176.0
2015-03-29,179.0
2015-03-30,253.0
2015-03-31,173.0
2015-04-01,212.0
2015-04-02,134.0
2015-04-03,125.0
2015-04-04,55.0
2015-04-05,67.0
2015-04-06,81.0
2015-04-07,62.0
2015-04-08,112.0
2015-04-09,74.0
2015-04-10,69.0
2015-04-11,43.0
2015-04-12,31.0
2015-04-13,61.0
2015-04-14,47.0
2015-04-15,77.0
2015-04-16,55.0
2015-04-17,55.0
2015-04-18,30.0
2015-04-19,36.0
2015-04-20,91.0
2015-04-21,89.0
2015-04-22,109.0
2015-04-23,70.0
2015-04-24,101.0
2015-04-25,87.0
2015-04-26,67.0
2015-04-27,79.0
2015-04-28,120.0
2015-04-29,66.0
2015-04-30,58.0
2015-05-01,61.0
2015-05-02,27.0
2015-05-03,25.0
2015-05-04,78.0
2015-05-05,73.0
2015-05-06,101.0
2015-05-07,46.0
2015-05-08,46.0
2015-05-09,46.0
2015-05-10,48.0
2015-05-11,67.0
2015-05-12,70.0
2015-05-13,65.0
2015-05-14,122.0
2015-05-15,111.0
2015-05-16,29.0
2015-05-17,35.0
2015-05-18,33.0
2015-05-19,78.0
2015-05-20,86.0
2015-05-21,59.0
2015-05-22,54.0
2015-05-23,25.0
2015-05-24,35.0
2015-05-25,42.0
2015-05-26,82.0
2015-05-27,76.0
2015-05-28,109.0
2015-05-29,195.0
2015-05-30,147.0
2015-05-31,187.0
2015-06-01,175.0
2015-06-02,89.0
2015-06-03,79.0
2015-06-04,40.0
2015-06-05,47.0
2015-06-06,41.0
2015-06-07,44.0
2015-06-08,87.0
2015-06-09,51.0
2015-06-10,39.0
2015-06-11,124.0
2015-06-12,84.0
2015-06-13,44.0
2015-06-14,24.0
2015-06-15,113.0
2015-06-16,80.0
2015-06-17,67.0
2015-06-18,89.0
2015-06-19,53.0
2015-06-20,27.0
2015-06-21,21.0
2015-06-22,49.0
2015-06-23,69.0
2015-06-24,58.0
2015-06-25,51.0
2015-06-26,65.0
2015-06-27,12.0
2015-06-28,24.0
2015-06-29,54.0
2015-06-30,108.0
2015-07-01,59.0
2015-07-02,94.0
2015-07-03,54.0
2015-07-04,35.0
2015-07-05,10.0
2015-07-06,41.0
2015-07-07,112.0
2015-07-08,57.0
2015-07-09,75.0
2015-07-10,81.0
2015-07-11,26.0
2015-07-12,34.0
2015-07-13,44.0
2015-07-14,86.0
2015-07-15,124.0
2015-07-16,42.0
2015-07-17,75.0
2015-07-18,28.0
2015-07-19,25.0
2015-07-20,190.0
2015-07-21,133.0
2015-07-22,88.0
2015-07-23,57.0
2015-07-24,35.0
2015-07-25,12.0
2015-07-26,17.0
2015-07-27,51.0
2015-07-28,98.0
2015-07-29,56.0
2015-07-30,53.0
2015-07-31,70.0
2015-08-01,17.0
2015-08-02,23.0
2015-08-03,46.0
2015-08-04,92.0
2015-08-05,90.0
2015-08-06,78.0
2015-08-07,54.0
2015-08-08,7.0
2015-08-09,26.0
2015-08-10,48.0
2015-08-11,83.0
2015-08-12,63.0
2015-08-13,51.0
2015-08-14,48.0
2015-08-15,37.0
