date,IssueComment
2015-11-18,222.7
2015-11-19,214.59
2015-11-20,206.52
2015-11-21,198.55
2015-11-22,190.68
2015-11-23,182.93
2015-11-24,175.42
2015-11-25,168.18
2015-11-26,161.02
2015-11-27,153.39
2015-11-28,146.6
2015-11-29,139.59
2015-11-30,132.34
2015-12-01,125.33
2015-12-02,119.76
2015-12-03,116.42
2015-12-04,114.39
2015-12-05,112.25
2015-12-06,109.63
2015-12-07,106.66
2015-12-08,104.13
2015-12-09,102.9
2015-12-10,103.39
2015-12-11,105.06
2015-12-12,107.09
2015-12-13,109.06
2015-12-14,110.7
2015-12-15,111.88
2015-12-16,112.69
2015-12-17,112.98
2015-12-18,111.97
2015-12-19,108.88
2015-12-20,103.5
2015-12-21,96.31
2015-12-22,88.08
2015-12-23,79.73
2015-12-24,71.95
2015-12-25,64.63
2015-12-26,57.79
2015-12-27,51.97
2015-12-28,47.99
2015-12-29,46.45
2015-12-30,47.59
2015-12-31,51.17
2016-01-01,55.84
2016-01-02,60.31
2016-01-03,64.37
2016-01-04,68.5
2016-01-05,73.46
2016-01-06,79.45
2016-01-07,85.73
2016-01-08,90.84
2016-01-09,93.48
2016-01-10,93.35
2016-01-11,91.17
2016-01-12,88.3
2016-01-13,85.97
2016-01-14,84.8
2016-01-15,84.25
2016-01-16,83.23
2016-01-17,81.36
2016-01-18,79.38
2016-01-19,78.6
2016-01-20,80.43
2016-01-21,85.25
2016-01-22,91.49
2016-01-23,97.34
2016-01-24,101.85
2016-01-25,105.17
2016-01-26,107.95
2016-01-27,110.87
2016-01-28,114.2
2016-01-29,117.17
2016-01-30,118.59
2016-01-31,117.76
2016-02-01,115.04
2016-02-02,111.59
2016-02-03,108.84
2016-02-04,107.71
2016-02-05,107.75
2016-02-06,107.55
2016-02-07,106.08
2016-02-08,103.21
2016-02-09,99.46
2016-02-10,96.15
2016-02-11,94.23
2016-02-12,93.49
2016-02-13,93.02
2016-02-14,92.49
2016-02-15,91.92
2016-02-16,91.87
2016-02-17,93.33
2016-02-18,96.81
2016-02-19,101.59
2016-02-20,106.41
2016-02-21,110.83
2016-02-22,115.1
2016-02-23,119.56
2016-02-24,124.64
2016-02-25,130.09
2016-02-26,134.65
2016-02-27,137.06
2016-02-28,137.34
2016-02-29,136.9
2016-03-01,137.65
2016-03-02,140.88
2016-03-03,146.77
2016-03-04,153.79
2016-03-05,160.3
2016-03-06,165.78
2016-03-07,170.71
2016-03-08,176.57
2016-03-09,184.66
2016-03-10,194.4
2016-03-11,203.46
2016-03-12,209.73
2016-03-13,212.49
2016-03-14,211.68
2016-03-15,208.42
2016-03-16,204.09
2016-03-17,199.38
2016-03-18,194.03
2016-03-19,186.36
2016-03-20,175.08
2016-03-21,161.08
2016-03-22,146.63
2016-03-23,134.43
2016-03-24,126.16
2016-03-25,121.04
2016-03-26,117.49
2016-03-27,114.44
2016-03-28,111.47
2016-03-29,109.24
2016-03-30,109.19
2016-03-31,111.84
2016-04-01,115.78
2016-04-02,119.15
2016-04-03,120.5
2016-04-04,119.34
2016-04-05,116.72
2016-04-06,114.4
2016-04-07,114.01
2016-04-08,115.68
2016-04-09,118.31
2016-04-10,121.28
2016-04-11,124.19
2016-04-12,127.34
2016-04-13,132.06
2016-04-14,139.1
2016-04-15,147.41
2016-04-16,155.29
2016-04-17,161.54
2016-04-18,165.81
2016-04-19,168.76
2016-04-20,171.41
2016-04-21,174.15
2016-04-22,175.89
2016-04-23,175.39
2016-04-24,171.93
2016-04-25,165.6
2016-04-26,157.16
2016-04-27,148.18
2016-04-28,140.26
2016-04-29,133.37
2016-04-30,127.19
2016-05-01,121.43
2016-05-02,115.49
2016-05-03,109.33
2016-05-04,103.9
2016-05-05,100.26
2016-05-06,98.46
2016-05-07,97.79
2016-05-08,97.48
2016-05-09,97.19
2016-05-10,96.81
2016-05-11,96.76
2016-05-12,97.07
2016-05-13,97.04
2016-05-14,96.18
2016-05-15,94.92
2016-05-16,94.65
2016-05-17,97.0
2016-05-18,103.48
2016-05-19,113.56
2016-05-20,124.37
2016-05-21,133.47
2016-05-22,140.35
2016-05-23,145.35
2016-05-24,149.3
2016-05-25,153.33
2016-05-26,157.89
2016-05-27,161.97
2016-05-28,163.54
2016-05-29,161.44
2016-05-30,156.35
2016-05-31,150.7
2016-06-01,147.33
2016-06-02,147.57
2016-06-03,150.05
2016-06-04,152.76
2016-06-05,154.61
2016-06-06,155.42
2016-06-07,156.14
2016-06-08,158.36
2016-06-09,162.52
2016-06-10,166.93
2016-06-11,169.49
2016-06-12,168.94
2016-06-13,165.38
2016-06-14,160.51
2016-06-15,156.23
2016-06-16,153.85
2016-06-17,152.97
2016-06-18,152.27
2016-06-19,151.14
2016-06-20,149.94
2016-06-21,149.88
2016-06-22,152.41
2016-06-23,157.65
2016-06-24,163.94
2016-06-25,169.6
2016-06-26,174.1
2016-06-27,177.97
2016-06-28,181.89
2016-06-29,186.63
2016-06-30,192.76
2016-07-01,199.03
2016-07-02,203.38
2016-07-03,204.94
2016-07-04,204.75
2016-07-05,204.69
2016-07-06,206.28
2016-07-07,210.09
2016-07-08,214.62
2016-07-09,217.61
2016-07-10,216.86
2016-07-11,211.83
2016-07-12,204.17
2016-07-13,196.26
2016-07-14,189.62
2016-07-15,183.55
2016-07-16,175.99
2016-07-17,166.43
2016-07-18,156.0
2016-07-19,145.75
2016-07-20,137.49
2016-07-21,132.29
2016-07-22,129.45
2016-07-23,127.6
2016-07-24,125.54
2016-07-25,123.27
2016-07-26,121.54
2016-07-27,121.72
2016-07-28,124.55
2016-07-29,129.09
2016-07-30,133.69
2016-07-31,137.7
2016-08-01,141.13
2016-08-02,144.01
2016-08-03,147.0
2016-08-04,150.95
2016-08-05,155.31
2016-08-06,158.89
2016-08-07,161.15
2016-08-08,161.87
2016-08-09,161.6
2016-08-10,161.04
2016-08-11,160.29
2016-08-12,159.15
2016-08-13,157.16
2016-08-14,154.62
2016-08-15,152.05
2016-08-16,150.42
2016-08-17,151.25
2016-08-18,155.15
2016-08-19,160.25
2016-08-20,164.38
2016-08-21,167.21
2016-08-22,169.4
2016-08-23,172.5
2016-08-24,178.23
2016-08-25,186.65
2016-08-26,195.63
2016-08-27,202.67
2016-08-28,206.01
2016-08-29,205.98
2016-08-30,204.73
2016-08-31,204.49
2016-09-01,206.38
2016-09-02,209.12
2016-09-03,211.01
2016-09-04,211.39
2016-09-05,210.43
2016-09-06,208.7
2016-09-07,207.27
2016-09-08,207.19
2016-09-09,208.2
2016-09-10,209.65
2016-09-11,210.9
2016-09-12,211.64
2016-09-13,212.26
2016-09-14,213.58
2016-09-15,215.97
2016-09-16,218.87
2016-09-17,221.3
2016-09-18,222.85
2016-09-19,223.97
2016-09-20,225.53
2016-09-21,229.32
2016-09-22,234.74
2016-09-23,237.64
2016-09-24,234.63
2016-09-25,226.81
2016-09-26,217.57
2016-09-27,209.06
2016-09-28,201.94
2016-09-29,196.64
2016-09-30,192.36
2016-10-01,188.13
2016-10-02,183.41
2016-10-03,177.37
2016-10-04,171.79
2016-10-05,171.55
2016-10-06,178.98
2016-10-07,190.14
2016-10-08,200.44
2016-10-09,208.17
2016-10-10,212.93
2016-10-11,215.49
