date,openPR
2015-01-01,27.0
2015-01-02,38.0
2015-01-03,40.0
2015-01-04,23.0
2015-01-05,24.0
2015-01-06,26.0
2015-01-07,19.0
2015-01-08,28.0
2015-01-09,23.0
2015-01-10,15.0
2015-01-11,17.0
2015-01-12,31.0
2015-01-13,39.0
2015-01-14,34.0
2015-01-15,29.0
2015-01-16,35.0
2015-01-17,14.0
2015-01-18,22.0
2015-01-19,25.0
2015-01-20,36.0
2015-01-21,19.0
2015-01-22,19.0
2015-01-23,23.0
2015-01-24,14.0
2015-01-25,16.0
2015-01-26,24.0
2015-01-27,34.0
2015-01-28,35.0
2015-01-29,26.0
2015-01-30,23.0
2015-01-31,21.0
2015-02-01,14.0
2015-02-02,26.0
2015-02-03,28.0
2015-02-04,20.0
2015-02-05,33.0
2015-02-06,22.0
2015-02-07,24.0
2015-02-08,21.0
2015-02-09,23.0
2015-02-10,18.0
2015-02-11,20.0
2015-02-12,15.0
2015-02-13,27.0
2015-02-14,12.0
2015-02-15,12.0
2015-02-16,25.0
2015-02-17,27.0
2015-02-18,25.0
2015-02-19,23.0
2015-02-20,24.0
2015-02-21,27.0
2015-02-22,44.0
2015-02-23,31.0
2015-02-24,25.0
2015-02-25,31.0
2015-02-26,23.0
2015-02-27,23.0
2015-02-28,21.0
2015-03-01,17.0
2015-03-02,23.0
2015-03-03,37.0
2015-03-04,19.0
2015-03-05,27.0
2015-03-06,15.0
2015-03-07,36.0
2015-03-08,18.0
2015-03-09,29.0
2015-03-10,33.0
2015-03-11,18.0
2015-03-12,43.0
2015-03-13,29.0
2015-03-14,26.0
2015-03-15,19.0
2015-03-16,25.0
2015-03-17,32.0
2015-03-18,24.0
2015-03-19,46.0
2015-03-20,23.0
2015-03-21,19.0
2015-03-22,22.0
2015-03-23,25.0
2015-03-24,28.0
2015-03-25,27.0
2015-03-26,27.0
2015-03-27,18.0
2015-03-28,19.0
2015-03-29,15.0
2015-03-30,30.0
2015-03-31,31.0
2015-04-01,32.0
2015-04-02,23.0
2015-04-03,23.0
2015-04-04,16.0
2015-04-05,27.0
2015-04-06,17.0
2015-04-07,27.0
2015-04-08,18.0
2015-04-09,23.0
2015-04-10,23.0
2015-04-11,24.0
2015-04-12,33.0
2015-04-13,25.0
2015-04-14,22.0
2015-04-15,30.0
2015-04-16,26.0
2015-04-17,39.0
2015-04-18,25.0
2015-04-19,32.0
2015-04-20,28.0
2015-04-21,33.0
2015-04-22,36.0
2015-04-23,33.0
2015-04-24,21.0
2015-04-25,44.0
2015-04-26,22.0
2015-04-27,26.0
2015-04-28,27.0
2015-04-29,34.0
2015-04-30,29.0
2015-05-01,28.0
2015-05-02,27.0
2015-05-03,29.0
2015-05-04,28.0
2015-05-05,46.0
2015-05-06,32.0
2015-05-07,39.0
2015-05-08,36.0
2015-05-09,20.0
2015-05-10,39.0
2015-05-11,41.0
2015-05-12,32.0
2015-05-13,34.0
2015-05-14,26.0
2015-05-15,29.0
2015-05-16,21.0
2015-05-17,23.0
2015-05-18,24.0
2015-05-19,20.0
2015-05-20,24.0
2015-05-21,23.0
2015-05-22,21.0
2015-05-23,26.0
2015-05-24,20.0
2015-05-25,21.0
2015-05-26,34.0
2015-05-27,21.0
2015-05-28,15.0
2015-05-29,26.0
2015-05-30,20.0
2015-05-31,28.0
2015-06-01,26.0
2015-06-02,38.0
2015-06-03,15.0
2015-06-04,25.0
2015-06-05,44.0
2015-06-06,16.0
2015-06-07,14.0
2015-06-08,20.0
2015-06-09,22.0
2015-06-10,23.0
2015-06-11,28.0
2015-06-12,26.0
2015-06-13,26.0
2015-06-14,45.0
2015-06-15,30.0
2015-06-16,31.0
2015-06-17,28.0
2015-06-18,32.0
2015-06-19,20.0
2015-06-20,21.0
2015-06-21,15.0
2015-06-22,24.0
2015-06-23,29.0
2015-06-24,25.0
2015-06-25,24.0
2015-06-26,18.0
2015-06-27,20.0
2015-06-28,19.0
2015-06-29,28.0
2015-06-30,26.0
2015-07-01,26.0
2015-07-02,27.0
2015-07-03,24.0
2015-07-04,21.0
2015-07-05,25.0
2015-07-06,37.0
2015-07-07,35.0
2015-07-08,16.0
2015-07-09,53.0
2015-07-10,20.0
2015-07-11,19.0
2015-07-12,23.0
2015-07-13,24.0
2015-07-14,32.0
2015-07-15,28.0
2015-07-16,27.0
2015-07-17,28.0
2015-07-18,25.0
2015-07-19,32.0
2015-07-20,24.0
2015-07-21,38.0
2015-07-22,39.0
2015-07-23,26.0
2015-07-24,28.0
2015-07-25,13.0
2015-07-26,24.0
2015-07-27,30.0
2015-07-28,35.0
2015-07-29,21.0
2015-07-30,17.0
2015-07-31,32.0
2015-08-01,27.0
2015-08-02,19.0
2015-08-03,39.0
2015-08-04,28.0
2015-08-05,20.0
2015-08-06,44.0
2015-08-07,33.0
2015-08-08,21.0
2015-08-09,35.0
2015-08-10,53.0
2015-08-11,44.0
2015-08-12,29.0
2015-08-13,38.0
2015-08-14,30.0
2015-08-15,16.0
2015-08-16,17.0
2015-08-17,27.0
2015-08-18,20.0
2015-08-19,14.0
2015-08-20,31.0
2015-08-21,15.0
2015-08-22,20.0
2015-08-23,20.0
2015-08-24,24.0
2015-08-25,33.0
2015-08-26,18.0
2015-08-27,24.0
2015-08-28,26.0
2015-08-29,10.0
2015-08-30,33.0
2015-08-31,25.0
2015-09-01,31.0
2015-09-02,22.0
2015-09-03,30.0
2015-09-04,28.0
2015-09-05,15.0
2015-09-06,28.0
2015-09-07,22.0
2015-09-08,26.0
2015-09-09,31.0
2015-09-10,40.0
2015-09-11,16.0
2015-09-12,17.0
2015-09-13,23.0
2015-09-14,40.0
2015-09-15,21.0
2015-09-16,44.0
2015-09-17,22.0
2015-09-18,30.0
2015-09-19,18.0
2015-09-20,40.0
2015-09-21,33.0
2015-09-22,18.0
2015-09-23,17.0
2015-09-24,16.0
2015-09-25,23.0
2015-09-26,21.0
2015-09-27,13.0
2015-09-28,23.0
2015-09-29,32.0
2015-09-30,14.0
2015-10-01,23.0
2015-10-02,22.0
2015-10-03,15.0
2015-10-04,27.0
2015-10-05,37.0
2015-10-06,24.0
2015-10-07,32.0
2015-10-08,21.0
2015-10-09,39.0
2015-10-10,10.0
2015-10-11,12.0
2015-10-12,34.0
2015-10-13,46.0
2015-10-14,34.0
2015-10-15,29.0
2015-10-16,27.0
2015-10-17,27.0
2015-10-18,30.0
2015-10-19,30.0
2015-10-20,22.0
2015-10-21,27.0
2015-10-22,21.0
2015-10-23,20.0
2015-10-24,10.0
2015-10-25,10.0
2015-10-26,32.0
2015-10-27,33.0
2015-10-28,21.0
2015-10-29,47.0
2015-10-30,29.0
2015-10-31,26.0
2015-11-01,31.0
2015-11-02,23.0
2015-11-03,30.0
2015-11-04,28.0
2015-11-05,30.0
2015-11-06,25.0
2015-11-07,15.0
2015-11-08,27.0
2015-11-09,23.0
2015-11-10,13.0
2015-11-11,30.0
2015-11-12,34.0
2015-11-13,23.0
2015-11-14,17.0
2015-11-15,15.0
2015-11-16,23.0
2015-11-17,35.0
2015-11-18,28.0
2015-11-19,35.0
2015-11-20,41.0
2015-11-21,15.0
2015-11-22,14.0
2015-11-23,13.0
2015-11-24,34.0
2015-11-25,23.0
2015-11-26,33.0
2015-11-27,30.0
2015-11-28,14.0
2015-11-29,27.0
2015-11-30,21.0
2015-12-01,27.0
2015-12-02,35.0
2015-12-03,35.0
2015-12-04,33.0
2015-12-05,28.0
2015-12-06,23.0
2015-12-07,19.0
2015-12-08,28.0
2015-12-09,26.0
2015-12-10,33.0
2015-12-11,26.0
2015-12-12,20.0
2015-12-13,23.0
2015-12-14,37.0
2015-12-15,15.0
2015-12-16,33.0
2015-12-17,32.0
2015-12-18,29.0
2015-12-19,20.0
2015-12-20,14.0
2015-12-21,23.0
2015-12-22,32.0
2015-12-23,31.0
2015-12-24,32.0
2015-12-25,24.0
2015-12-26,24.0
2015-12-27,24.0
2015-12-28,25.0
2015-12-29,39.0
2015-12-30,15.0
2015-12-31,22.0
2016-01-01,15.0
2016-01-02,21.0
2016-01-03,26.0
2016-01-04,26.0
2016-01-05,38.0
2016-01-06,40.0
2016-01-07,28.0
2016-01-08,29.0
2016-01-09,32.0
2016-01-10,28.0
2016-01-11,38.0
2016-01-12,24.0
2016-01-13,29.0
2016-01-14,36.0
2016-01-15,37.0
2016-01-16,16.0
2016-01-17,26.0
2016-01-18,28.0
2016-01-19,31.0
2016-01-20,25.0
2016-01-21,32.0
2016-01-22,36.0
2016-01-23,17.0
2016-01-24,22.0
2016-01-25,25.0
2016-01-26,28.0
2016-01-27,29.0
2016-01-28,32.0
2016-01-29,42.0
2016-01-30,31.0
2016-01-31,28.0
2016-02-01,27.0
2016-02-02,34.0
2016-02-03,30.0
2016-02-04,41.0
2016-02-05,43.0
2016-02-06,29.0
2016-02-07,22.0
2016-02-08,22.0
2016-02-09,25.0
2016-02-10,25.0
2016-02-11,43.0
2016-02-12,23.0
2016-02-13,24.0
2016-02-14,12.0
2016-02-15,31.0
2016-02-16,27.0
2016-02-17,35.0
2016-02-18,43.0
2016-02-19,27.0
2016-02-20,15.0
2016-02-21,23.0
2016-02-22,22.0
2016-02-23,27.0
2016-02-24,29.0
2016-02-25,33.0
2016-02-26,35.0
2016-02-27,22.0
2016-02-28,32.0
2016-02-29,20.0
2016-03-01,31.0
2016-03-02,25.0
2016-03-03,21.0
2016-03-04,20.0
2016-03-05,17.0
2016-03-06,15.0
2016-03-07,27.0
2016-03-08,19.0
2016-03-09,42.0
2016-03-10,57.0
2016-03-11,30.0
2016-03-12,13.0
2016-03-13,26.0
2016-03-14,16.0
2016-03-15,31.0
2016-03-16,26.0
2016-03-17,34.0
2016-03-18,23.0
2016-03-19,18.0
2016-03-20,14.0
2016-03-21,17.0
2016-03-22,22.0
2016-03-23,36.0
2016-03-24,19.0
2016-03-25,30.0
2016-03-26,20.0
2016-03-27,22.0
2016-03-28,21.0
